日期,時段,指標,系統,1 福德一路/上匝道,西向,東向,2 福德一路/下匝道,下匝道,東向,3 福德一路/和成路,西向,東向(車尾),東向(路口4照車尾),4 福德一路/和平路,和平路南向,福德西向,和平路北向,和強路東向(車尾),5 八德轉運站出入口,西向,東向,6 和強路/120巷,東向,7 和強路/延平路,延平路南向,和強路西向,延平路北向,和強路東向,10 和平路/富榮街,和平路南向,和平路北向,14 大安小學,和平路東向,路徑1,路徑2,路徑3,路徑4,平均旅行時間,加權平均旅行時間,加權平均旅行時間_含邊界_先加,加權平均旅行時間_含邊界_後加,總加權旅行時間,延平路->和平路 (往東),和平路-> 上匝道前 (往東),上匝道前-> 上匝道後 (往東),東匝入口-> 下匝道後 (往西),下匝道後-> 和平路 (往西),和平路-> 延平路 (往西),和平路口左轉-> 和平路704巷,大安國小-> 和平/和強路口,大安國小-> 右轉和強路上匝道前 (往北)
2026-06-10,16:30~18:30,通過量,6509.0,1938.0,278.0,1660.0,3692.0,1979.0,1713.0,10739.0,4337.0,3416.0,2986.0,7755.0,591.0,3975.0,1842.0,1347.0,3348.0,2134.0,1214.0,1305.0,1305.0,4041.0,733.0,2047.0,372.0,889.0,3680.0,2013.0,1667.0,1243.0,1243.0,0.0,0.0,13.6,14.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,16:30~18:30,平均停等延滯,106.8,7.1,44.2,0.8,10.8,19.1,1.1,7.8,11.2,2.8,8.7,38.4,65.9,37.7,35.7,32.3,6.2,0.9,15.4,11.2,11.2,44.9,120.8,29.4,29.9,24.3,10.8,8.2,13.9,2.8,2.8,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,17:00~19:00,總停等延滯,636294.0,13907.0,12525.0,1382.0,32573.0,30989.0,1584.0,74710.0,46534.0,8310.0,19866.0,277849.0,35894.0,146638.0,59240.0,36077.0,12107.0,1767.0,10340.0,13929.0,13929.0,172361.0,90500.0,55591.0,8482.0,17788.0,36106.0,14458.0,21648.0,2752.0,2752.0,nan,nan,260.8,229.5,-,-,-,-,-,-,101.6,18.6,39.4,108.0,-,121.6,208.1,34.2
2026-06-10,17:00~19:00,通過量,6101.0,1777.0,279.0,1498.0,3434.0,1894.0,1540.0,10036.0,4232.0,3102.0,2702.0,7467.0,565.0,4071.0,1619.0,1212.0,3185.0,2065.0,1120.0,1212.0,1212.0,3878.0,750.0,2022.0,317.0,789.0,3527.0,2020.0,1507.0,1070.0,1070.0,0.0,0.0,13.9,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,17:00~19:00,平均停等延滯,104.3,7.8,44.9,0.9,9.5,16.4,1.0,7.4,11.0,2.7,7.4,37.2,63.5,36.0,36.6,29.8,3.8,0.9,9.2,11.5,11.5,44.4,120.7,27.5,26.8,22.5,10.2,7.2,14.4,2.6,2.6,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,16:30~17:30,總停等延滯,359785.0,6343.0,5691.0,652.0,18317.0,17487.0,830.0,44723.0,23100.0,5013.0,16610.0,153246.0,19996.0,69568.0,39072.0,24610.0,14859.0,1083.0,13776.0,8240.0,8240.0,90295.0,42450.0,28729.0,6520.0,12596.0,21371.0,8333.0,13038.0,2391.0,2391.0,nan,nan,226.9,218.5,-,-,-,-,-,-,140.7,17.6,56.1,101.0,-,117.6,175.0,34.1
2026-06-10,16:30~17:30,通過量,3435.0,1038.0,145.0,893.0,1878.0,984.0,894.0,5634.0,2205.0,1814.0,1615.0,4001.0,283.0,1966.0,1022.0,730.0,1739.0,1096.0,643.0,669.0,669.0,2087.0,378.0,1007.0,212.0,490.0,1882.0,939.0,943.0,743.0,743.0,0.0,0.0,15.9,14.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,16:30~17:30,平均停等延滯,104.7,6.1,39.2,0.7,9.8,17.8,0.9,7.9,10.5,2.8,10.3,38.3,70.7,35.4,38.2,33.7,8.5,1.0,21.4,12.3,12.3,43.3,112.3,28.5,30.8,25.7,11.4,8.9,13.8,3.2,3.2,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,17:30~18:30,總停等延滯,335696.0,7331.0,6586.0,745.0,21492.0,20394.0,1098.0,39260.0,25398.0,4406.0,9456.0,144842.0,18945.0,80308.0,26694.0,18895.0,5852.0,906.0,4946.0,6350.0,6350.0,91155.0,46099.0,31482.0,4608.0,8966.0,18263.0,8138.0,10125.0,1151.0,1151.0,nan,nan,304.4,236.7,-,-,-,-,-,-,56.4,19.0,42.1,113.2,-,123.5,250.7,34.7
2026-06-10,17:30~18:30,通過量,3074.0,900.0,133.0,767.0,1814.0,995.0,819.0,5105.0,2132.0,1602.0,1371.0,3754.0,308.0,2009.0,820.0,617.0,1609.0,1038.0,571.0,636.0,636.0,1954.0,355.0,1040.0,160.0,399.0,1798.0,1074.0,724.0,500.0,500.0,0.0,0.0,11.9,13.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
